model,feature,comparison,n_a,n_b,mean_a,mean_b,U,p_raw,p_fdr,effect_r,sig_fdr
drkhan,question_count,short vs long_turn1,863,1000,0.013904982618771726,3.288,455.0,0.0,0.0,0.9989455388180765,True
drkhan,mattr,short vs long_turn1,863,1000,0.8685025492468136,0.7807394999999999,825967.5,2.040904820328228e-254,1.2925730528745446e-253,-0.9141772885283894,True
drkhan,flesch_reading_ease,short vs long_turn1,863,1000,59.58896871378911,77.90238000000001,46964.5,7.16209035844333e-242,3.887991908869237e-241,0.8911599073001158,True
drkhan,avg_word_length,short vs long_turn1,863,1000,4.964728852838934,4.203037,834852.0,6.586668939743566e-266,5.00586839420511e-265,-0.9347670915411355,True
drkhan,medical_term_count,short vs long_turn1,863,1000,0.5168018539976825,0.082,545565.5,1.0412742072227731e-48,2.422556318844819e-48,-0.2643464658169177,True
drkhan,urgency_score,short vs long_turn1,863,1000,0.8852838933951332,0.089,578675.0,7.630459561280586e-76,1.9769827045136064e-75,-0.34107763615295483,True
drkhan,warning_signs_count,short vs long_turn1,863,1000,1.5712630359212052,0.946,527458.0,3.6060389869453706e-18,6.085102650361831e-18,-0.2223823870220163,True
drkhan,medication_specificity,short vs long_turn1,863,1000,0.5168018539976825,0.016,552832.0,1.895372997286678e-68,4.801611593126251e-68,-0.28118655851680185,True
drkhan,differential_count,short vs long_turn1,863,1000,0.03592120509849363,0.021,436396.5,0.11951568447927949,0.12733446757605477,-0.011347624565469339,False
drkhan,emergency_advice,short vs long_turn1,863,1000,0.12862108922363846,0.017,479664.5,2.207994571331545e-21,4.126416084127806e-21,-0.11162108922363845,True
drkhan,safety_warning_count,short vs long_turn1,863,1000,1.052143684820394,0.859,459050.5,0.011268983785558304,0.01259474658385928,-0.063848203939745,True
drkhan,risk_language_score,short vs long_turn1,863,1000,1.0579374275782156,0.896,440325.0,0.41579399850889254,0.43091378027285226,-0.02045191193511009,False
drkhan,empathy_score,short vs long_turn1,863,1000,0.011587485515643106,1.177,179245.5,9.270888335788353e-160,3.6444181733788697e-159,0.5845990730011588,True
drkhan,reassurance_count,short vs long_turn1,863,1000,0.002317497103128621,0.0,432500.0,0.1280140001630081,0.135125889060953,-0.002317497103128563,False
drkhan,politeness_count,short vs long_turn1,863,1000,0.1853997682502897,1.133,167338.0,1.547796754348347e-139,5.514025937365986e-139,0.6121946697566628,True
drkhan,word_count,short vs long_all,863,10352,66.61645422943221,287.5118817619784,293415.0,0.0,0.0,0.9343133295484463,True
drkhan,sentence_count,short vs long_all,863,10352,5.595596755504055,13.848531684698608,795661.0,0.0,0.0,0.8218757667530504,True
drkhan,avg_sentence_length,short vs long_all,863,10352,12.026292004634994,19.873034196290572,552847.0,0.0,0.0,0.8762344164438419,True
drkhan,paragraph_count,short vs long_all,863,10352,1.0046349942062573,6.893257341576507,1496732.5,3.7672674672939615e-253,2.260360480376377e-252,0.6649272379338815,True
drkhan,question_count,short vs long_all,863,10352,0.013904982618771726,1.4068778979907264,842498.5,0.0,0.0,0.8113902788697634,True
drkhan,mattr,short vs long_all,863,10352,0.8685025492468136,0.8203012171561049,7635597.0,1.7743425307244194e-263,1.264219053141149e-262,-0.7093773114526265,True
drkhan,flesch_reading_ease,short vs long_all,863,10352,59.58896871378911,49.974086166924266,6460814.0,1.4849919970452156e-105,4.454975991135647e-105,-0.4463792241936668,True
drkhan,avg_word_length,short vs long_all,863,10352,4.964728852838934,5.047296271251931,3524086.5,5.873478071958781e-25,1.1544422417298293e-24,0.21106450396786314,True
drkhan,medical_term_count,short vs long_all,863,10352,0.5168018539976825,0.8690108191653787,4243423.0,0.00386555519714871,0.004451245378534877,0.050026998662155875,True
drkhan,urgency_score,short vs long_all,863,10352,0.8852838933951332,0.4809698608964451,5218968.5,3.171399262936379e-28,6.5734457449954035e-28,-0.16836788833747351,True
drkhan,warning_signs_count,short vs long_all,863,10352,1.5712630359212052,1.2810085007727976,5033142.5,7.943674763451254e-11,1.1319736537918039e-10,-0.12676711392808593,True
drkhan,medication_specificity,short vs long_all,863,10352,0.5168018539976825,0.35326506955177744,4743315.0,8.546329193289476e-05,0.00010706390417967036,-0.061883575321342255,True
drkhan,differential_count,short vs long_all,863,10352,0.03592120509849363,0.7812982998454405,2714678.0,6.79272609807701e-107,2.0928939869750788e-106,0.39226638321802565,True
drkhan,emergency_advice,short vs long_all,863,10352,0.12862108922363846,0.033906491499227205,4889967.5,3.0708465729779576e-41,6.864245280774258e-41,-0.09471459772441126,True
drkhan,safety_warning_count,short vs long_all,863,10352,1.052143684820394,0.9800038639876353,5108864.0,4.484545282410468e-15,6.908623813443153e-15,-0.143718848558549,True
drkhan,risk_language_score,short vs long_all,863,10352,1.0579374275782156,0.9614567233384853,5020505.5,1.3330019008878382e-11,1.9482335474514557e-11,-0.12393807500882037,True
drkhan,empathy_score,short vs long_all,863,10352,0.011587485515643106,0.46493431221020093,3366712.0,7.099454971971776e-60,1.6861205558432969e-59,0.24629585519045927,True
drkhan,reassurance_count,short vs long_all,863,10352,0.002317497103128621,0.13833075734157652,4136938.0,3.901419712565773e-16,6.264251369471804e-16,0.07386574277214919,True
drkhan,politeness_count,short vs long_all,863,10352,0.1853997682502897,0.9924652241112828,2420424.0,3.461656622941278e-126,1.1606731029861934e-125,0.4581408801832506,True
drkhan,word_count,long_turn1 vs long_turn16,1000,28,80.533,482.89285714285717,42.0,2.054306718620554e-19,3.659233842542862e-19,0.997,True
drkhan,sentence_count,long_turn1 vs long_turn16,1000,28,6.273,20.75,69.0,2.4600086699985013e-25,4.920017339997003e-25,0.9950714285714286,True
drkhan,avg_sentence_length,long_turn1 vs long_turn16,1000,28,12.95369,23.4575,708.0,9.563534522889278e-18,1.5800622255208373e-17,0.9494285714285714,True
drkhan,paragraph_count,long_turn1 vs long_turn16,1000,28,1.992,13.642857142857142,1001.5,1.4064510926492467e-20,2.545006739079589e-20,0.9284642857142857,True
drkhan,question_count,long_turn1 vs long_turn16,1000,28,3.288,1.9285714285714286,23041.5,2.385611384497921e-15,3.725475312777575e-15,-0.6458214285714285,True
drkhan,mattr,long_turn1 vs long_turn16,1000,28,0.7807394999999999,0.8114357142857144,6515.5,1.365942173300497e-06,1.7898552615661683e-06,0.5346071428571428,True
drkhan,flesch_reading_ease,long_turn1 vs long_turn16,1000,28,77.90238000000001,41.93642857142858,27752.0,7.010606510122768e-19,1.2295525263907623e-18,-0.9822857142857142,True
drkhan,avg_word_length,long_turn1 vs long_turn16,1000,28,4.203037,5.2332142857142845,291.5,9.017563753426305e-19,1.5575791937736343e-18,0.9791785714285715,True
drkhan,medical_term_count,long_turn1 vs long_turn16,1000,28,0.082,0.5357142857142857,12275.0,0.009761115332014682,0.011017496513363107,0.12321428571428572,True
drkhan,urgency_score,long_turn1 vs long_turn16,1000,28,0.089,0.21428571428571427,13029.5,0.05856269833761273,0.0635823581951224,0.06932142857142853,False
drkhan,warning_signs_count,long_turn1 vs long_turn16,1000,28,0.946,0.42857142857142855,18737.0,0.0009940949459258815,0.0011804877482869843,-0.3383571428571428,True
drkhan,medication_specificity,long_turn1 vs long_turn16,1000,28,0.016,0.10714285714285714,13116.0,0.0007964360217225599,0.0009557232260670719,0.06314285714285717,True
drkhan,differential_count,long_turn1 vs long_turn16,1000,28,0.021,0.5,10752.5,3.883275004256069e-14,5.824912506384104e-14,0.23196428571428573,True
drkhan,emergency_advice,long_turn1 vs long_turn16,1000,28,0.017,0.0,14238.0,0.4877420278430429,0.5009242448117738,-0.016999999999999904,False
drkhan,safety_warning_count,long_turn1 vs long_turn16,1000,28,0.859,0.5714285714285714,18386.5,0.0021073173408514686,0.0024513691516027288,-0.31332142857142853,True
drkhan,risk_language_score,long_turn1 vs long_turn16,1000,28,0.896,0.4642857142857143,18083.0,0.004214182475610815,0.004804168022196329,-0.2916428571428571,True
drkhan,empathy_score,long_turn1 vs long_turn16,1000,28,1.177,0.2857142857142857,20254.0,2.498455845243572e-06,3.236635981338264e-06,-0.4467142857142856,True
drkhan,reassurance_count,long_turn1 vs long_turn16,1000,28,0.0,0.03571428571428571,13500.0,2.3701100088470236e-09,3.2950309879092766e-09,0.0357142857142857,True
drkhan,politeness_count,long_turn1 vs long_turn16,1000,28,1.133,1.8928571428571428,10990.0,0.03972127307529837,0.04354062625561553,0.21499999999999997,True
